"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000580, 1, 0.000580, C='0.017961675793542162',gamma='0.9046232030638993'
0.229205, 0.500000, 0.230584, 1, 0.001379, C='0.017961675793542162',gamma='0.9046232030638993'
1.254117, 0.365700, 1.262944, 2, 0.008827, C='12.958180650233897',gamma='0.01207858159167579'
3.623585, 0.256900, 3.658572, 3, 0.034986, C='176.75556488562856',gamma='0.002712060563487799'
5.125862, 0.249400, 5.428957, 4, 0.303095, C='149.7542270056872',gamma='0.0028458898024995784'
5.385087, 0.248200, 5.695969, 5, 0.310882, C='152.9900248577871',gamma='0.0027263509190037652'
7.143816, 0.227000, 10.136519, 6, 2.992703, C='152.39457271668576',gamma='0.0017342814627969343'
7.417044, 0.179400, 10.420852, 7, 3.003808, C='153.578133364075',gamma='0.0011006819696657835'
7.869104, 0.178200, 11.815117, 8, 3.946013, C='448.42209004583003',gamma='0.0010851404633901395'
8.912865, 0.171200, 13.601082, 9, 4.688217, C='621.2345862188928',gamma='0.0010251585106079814'
9.340647, 0.163700, 14.592544, 10, 5.251896, C='633.6150941253102',gamma='0.0009980802588254011'
10.326035, 0.163200, 18.038536, 11, 7.712501, C='928.0340245377886',gamma='0.0009980802588254011'
