"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000539, 1, 0.000539, C='0.017961675793542162',gamma='0.9046232030638993'
0.439096, 0.500000, 0.440373, 1, 0.001277, C='0.017961675793542162',gamma='0.9046232030638993'
1.743501, 0.358300, 1.747331, 2, 0.003830, C='61.71933670840937',gamma='1.0864412265106145'
2.723182, 0.274400, 2.728803, 3, 0.005621, C='1.0',gamma='0.1'
4.731475, 0.129400, 4.740770, 4, 0.009295, C='12.958180650233897',gamma='0.01207858159167579'
11.794438, 0.118100, 11.829888, 5, 0.035450, C='176.75556488562856',gamma='0.002712060563487799'
16.756179, 0.111800, 17.281265, 6, 0.525086, C='156.43095654637057',gamma='0.001971107833419038'
18.896947, 0.109800, 19.759860, 7, 0.862913, C='61.02571810992288',gamma='0.0017989775444477365'
20.762196, 0.108000, 21.902337, 8, 1.140141, C='162.83760461607548',gamma='0.0014597872863991738'
27.054017, 0.106800, 31.634228, 9, 4.580211, C='164.64960076777055',gamma='0.0014597872863991738'
28.819568, 0.102700, 33.740717, 10, 4.921149, C='165.65282864701203',gamma='0.001150113597629497'
30.235941, 0.097800, 35.168232, 11, 4.932291, C='165.72428570133658',gamma='0.0009927487073772715'
36.302432, 0.097800, 43.244003, 12, 6.941571, C='561.7603440695395',gamma='0.0010191368107574847'
38.722141, 0.094300, 46.587505, 13, 7.865364, C='218.50890386461603',gamma='0.0010191210319257318'
41.420919, 0.092300, 51.027206, 14, 9.606287, C='224.4922275170896',gamma='0.000979209833908384'
49.070856, 0.091400, 63.135212, 15, 14.064356, C='272.3086459577434',gamma='0.000979209833908384'
