"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000536, 1, 0.000536, C='0.017961675793542162',gamma='0.9046232030638993'
0.170102, 0.500000, 0.171395, 1, 0.001293, C='0.017961675793542162',gamma='0.9046232030638993'
0.778450, 0.482000, 0.782086, 2, 0.003636, C='61.71933670840937',gamma='1.0864412265106145'
2.344589, 0.342500, 2.355587, 3, 0.010999, C='12.958180650233897',gamma='0.01207858159167579'
3.565236, 0.130700, 3.586558, 4, 0.021322, C='0.7731863785266639',gamma='0.0012442315522724887'
6.881813, 0.116500, 7.189303, 5, 0.307490, C='103.55333717469951',gamma='0.0012577012936552774'
7.106791, 0.116100, 7.665931, 6, 0.559139, C='102.07320756098515',gamma='0.001270219109783915'
8.781116, 0.115100, 11.821032, 7, 3.039916, C='97.54782253564152',gamma='0.001521206095485887'
9.349064, 0.105800, 13.605744, 8, 4.256680, C='35.864219791573284',gamma='0.0015202998783956899'
9.551143, 0.063400, 13.820447, 9, 4.269304, C='2.9895554562565327',gamma='0.0012122990148101594'
11.357005, 0.055800, 21.042189, 10, 9.685184, C='3.990718991284804',gamma='0.0012122990148101594'
11.923507, 0.046000, 22.697274, 11, 10.773767, C='4.646128342462552',gamma='0.0009812669106453713'
